transaction_id,date,time,sku,category,channel,store_id,quantity,base_price,discount,total_price,promotion
TXN-770487,1/13/2024,22:07:01,BOOK-5506,BOOK,Online,Online,2,16.24,0,32.48,FALSE
TXN-770487,1/13/2024,22:07:01,KIDS-3286,KIDS,Online,Online,4,38.57,0.05,146.56,TRUE
TXN-770487,1/13/2024,22:07:01,TECH-7912,TECH,Online,Online,4,1426.26,0,5705.04,FALSE
TXN-770487,1/13/2024,22:07:01,KIDS-2535,KIDS,Online,Online,1,59.55,0,59.55,FALSE
TXN-770487,1/13/2024,22:07:01,BOOK-9279,BOOK,Online,Online,1,30.99,0.05,29.44,TRUE
TXN-850800,1/2/2024,22:41:44,BOOK-4611,BOOK,Store,Store 4,4,33.7,0,134.8,FALSE
TXN-850800,1/2/2024,22:41:44,HOME-5557,HOME,Store,Store 4,5,162.62,0.15,691.15,TRUE
TXN-850800,1/2/2024,22:41:44,KIDS-3615,KIDS,Store,Store 4,2,70.1,0.1,126.18,TRUE
TXN-391369,1/8/2024,8:09:13,BOOK-6514,BOOK,Online,Online,3,46.37,0,139.11,FALSE
TXN-391369,1/8/2024,8:09:13,BOOK-7224,BOOK,Online,Online,2,32.71,0,65.42,FALSE
TXN-391369,1/8/2024,8:09:13,KIDS-6635,KIDS,Online,Online,4,142.13,0.05,540.08,TRUE
TXN-391369,1/8/2024,8:09:13,BOOK-8527,BOOK,Online,Online,4,11.81,0.1,42.52,TRUE
TXN-182627,1/13/2024,8:35:18,KIDS-6925,KIDS,Online,Online,4,90.55,0.05,344.08,TRUE
TXN-182627,1/13/2024,8:35:18,KIDS-1750,KIDS,Online,Online,1,22.03,0.1,19.83,TRUE
TXN-183667,1/13/2024,9:54:14,HOME-7227,HOME,Store,Store 1,3,247.54,0,742.62,FALSE
TXN-183667,1/13/2024,9:54:14,KIDS-6977,KIDS,Store,Store 1,2,35.06,0,70.12,FALSE
TXN-183667,1/13/2024,9:54:14,HOME-6820,HOME,Store,Store 1,2,73.85,0,147.7,FALSE
TXN-379946,1/11/2024,18:44:59,BOOK-2169,BOOK,Online,Online,3,14.78,0.05,42.12,TRUE
TXN-379946,1/11/2024,18:44:59,HOME-9751,HOME,Online,Online,2,109,0.05,207.1,TRUE
TXN-379946,1/11/2024,18:44:59,TECH-8573,TECH,Online,Online,2,330.5,0,661,FALSE
TXN-771088,1/2/2024,17:44:35,KIDS-6313,KIDS,Store,Store 2,5,90.18,0.15,383.25,TRUE
TXN-771088,1/2/2024,17:44:35,KIDS-4752,KIDS,Store,Store 2,3,110.32,0.25,248.22,TRUE
TXN-771088,1/2/2024,17:44:35,HOME-7572,HOME,Store,Store 2,1,76.37,0,76.37,FALSE
TXN-771088,1/2/2024,17:44:35,TECH-4456,TECH,Store,Store 2,4,1371.07,0.25,4113.2,TRUE
TXN-322955,1/26/2024,20:41:31,TECH-8517,TECH,Store,Store 4,3,812.53,0,2437.59,FALSE
TXN-246413,1/10/2024,6:15:47,HOME-8019,HOME,Store,Store 3,2,134.4,0.3,188.16,TRUE
TXN-246413,1/10/2024,6:15:47,TECH-6930,TECH,Store,Store 3,1,784.6,0,784.6,FALSE
TXN-246413,1/10/2024,6:15:47,TECH-3266,TECH,Store,Store 3,4,602.14,0.05,2288.12,TRUE
TXN-246413,1/10/2024,6:15:47,BOOK-1771,BOOK,Store,Store 3,1,49.91,0.2,39.93,TRUE
TXN-246413,1/10/2024,6:15:47,KIDS-3621,KIDS,Store,Store 3,4,26.69,0.1,96.08,TRUE
TXN-725380,1/28/2024,8:04:24,BOOK-8668,BOOK,Store,Store 4,4,13.23,0.05,50.28,TRUE
TXN-725380,1/28/2024,8:04:24,TECH-2876,TECH,Store,Store 4,5,1058.77,0.1,4764.45,TRUE
TXN-725380,1/28/2024,8:04:24,BOOK-6573,BOOK,Store,Store 4,1,16.03,0,16.03,FALSE
TXN-725380,1/28/2024,8:04:24,HOME-8123,HOME,Store,Store 4,3,197.72,0,593.16,FALSE
TXN-103402,1/1/2024,15:46:56,KIDS-9201,KIDS,Store,Store 3,2,128.9,0.05,244.9,TRUE
TXN-103402,1/1/2024,15:46:56,HOME-5889,HOME,Store,Store 3,2,281.17,0.2,449.88,TRUE
TXN-103402,1/1/2024,15:46:56,TECH-3504,TECH,Store,Store 3,2,1478.6,0,2957.2,FALSE
TXN-103402,1/1/2024,15:46:56,TECH-3646,TECH,Store,Store 3,4,969.95,0.05,3685.8,TRUE
TXN-728038,1/7/2024,8:20:31,KIDS-1319,KIDS,Online,Online,1,103.46,0,103.46,FALSE
TXN-728038,1/7/2024,8:20:31,TECH-6947,TECH,Online,Online,4,996.82,0.25,2990.48,TRUE
TXN-728038,1/7/2024,8:20:31,KIDS-4923,KIDS,Online,Online,2,40.91,0,81.82,FALSE
TXN-694916,1/21/2024,17:05:05,TECH-2133,TECH,Store,Store 4,5,514.59,0.2,2058.35,TRUE
TXN-234628,1/23/2024,9:42:30,BOOK-5342,BOOK,Store,Store 2,5,29.47,0.1,132.6,TRUE
TXN-234628,1/23/2024,9:42:30,BOOK-4470,BOOK,Store,Store 2,1,33.08,0.2,26.46,TRUE
TXN-234628,1/23/2024,9:42:30,TECH-6107,TECH,Store,Store 2,3,986.41,0,2959.23,FALSE
TXN-804314,1/2/2024,23:41:23,KIDS-9479,KIDS,Store,Store 4,4,22.01,0,88.04,FALSE
